title_cleaned,county,county_fips,state,grouped_company,grouped_source_jt,job_posting_count,label
senior egi interconnection manager esc,Alameda County,6001,CA,Pacific Gas and Electric Company,Senior EGI Interconnection Manager ESC,1,interconnection reference
senior electrical engineer,Hennepin County,27053,MN,National Grid Renewables,Senior Electrical Engineer,2,interconnection engineer
senior electrical engineer transmission relay,Harris County,48201,TX,CenterPoint Energy,Senior Electrical Engineer Transmission Relay,1,interconnection engineer
senior engineer,King County,53033,WA,Puget Sound Energy,Senior Engineer,1,interconnection engineer
senior engineer distributed energy resource der planning,Norfolk County,25021,MA,Eversource Energy,Senior Engineer – Distributed Energy Resource (DER) Planning (Hybrid),1,interconnection engineer
senior engineer electrical asset management,Onondaga County,36067,NY,National Grid,Senior Engineer Electrical Asset Management,1,interconnection engineer
senior engineer electrical planning design,Erie County,36029,NY,National Grid,Senior Engineer Electrical Planning and Design,2,interconnection engineer
senior engineer electrical planning design,Onondaga County,36067,NY,National Grid,Senior Engineer Electrical Planning and Design,4,interconnection engineer
senior engineer electrical planning design,Worcester County,25027,MA,National Grid,"Senior Engineer, Electrical Planning and Design",6,interconnection engineer
senior engineer engineer iii systems operations engineering,Pinellas County,12103,FL,Duke Energy Corporation,Senior Engineer or Engineer III Systems Operations Engineering SOE,1,interconnection engineer
senior engineer iso policy,Hartford County,9110,CT,Eversource Energy,Senior Engineer ISO Policy,1,interconnection engineer
senior engineering consultant customer energy integration,Albany County,36001,NY,National Grid,Senior Engineering Consultant Customer Energy Integration,2,interconnection engineer
senior gas interconnection manager,Contra Costa County,6013,CA,Pacific Gas and Electric Company,Senior Gas Interconnection Manager,1,interconnection reference
senior grid operations specialist,Washington County,41067,OR,Portland General Electric,Senior Grid Operations Specialist,1,interconnection reference
senior manager clean energy transition beneficial electrification strategic partnerships,Madison County,17119,IL,Ameren,Senior Manager Clean Energy Transition Beneficial Electrification & Strategic Partnerships,1,interconnection reference
senior manager distributed energy resource management,Adams County,8001,CO,"Tri-State Generation and Transmission Association, Inc.",Senior Manager Distributed Energy Resource Management,3,interconnection reference
senior manager distributed energy resource management,Adams County,8001,CO,"Tri-State Generation and Transmission Association Inc.; Tri-State Generation and Transmission Association, Inc.",Senior Manager Distributed Energy Resource Management,3,interconnection reference
senior manager distributed energy resource management,Adams County,8001,CO,Tri-State Generation and Transmission Association Inc.,Senior Manager Distributed Energy Resource Management,3,interconnection reference
senior manager interconnection services,Palm Beach County,12099,FL,NextEra Energy Resources,Senior Manager Interconnection Services,1,interconnection reference
senior manager interconnection support,Tarrant County,48439,TX,Oncor Electric Delivery,Senior Manager Interconnection Support,1,interconnection reference
senior manager system design,Maricopa County,4013,AZ,Salt River Project,Senior Manager of System Design,1,interconnection reference
senior manager transmission business management,Palm Beach County,12099,FL,NextEra Energy Resources,Senior Manager Transmission Business Management,1,interconnection reference
senior principal transmission planning engineer,Hillsborough County,12057,FL,"Seminole Electric Cooperative, Inc.",SENIOR PRINCIPAL TRANSMISSION PLANNING ENGINEER,1,interconnection engineer
senior project coordinator distributed generation,Worcester County,25027,MA,National Grid,"Senior Project Coordinator, Distributed Generation",1,interconnection reference
senior quantitative risk analyst,King County,53033,WA,Puget Sound Energy,Senior Quantitative Risk Analyst,1,interconnection reference
senior staff attorney,Oklahoma County,40109,OK,Western Farmers Electric Cooperative,Senior Staff Attorney,1,interconnection reference
senior substation engineer electrical planning and design,Worcester County,25027,MA,National Grid,"Senior Substation Engineer, Electrical Planning and Design",2,interconnection engineer
senior substation engineer electrical planning and design,Worcester County,25027,MA,National Grid,"Senior Substation Engineer Electrical Planning and Design; Senior Substation Engineer, Electrical Planning and Design",2,interconnection engineer
senior substation engineer electrical planning and design,Worcester County,25027,MA,National Grid,Senior Substation Engineer Electrical Planning and Design,2,interconnection engineer
senior technology planning specialist,New York County,36061,NY,Con Edison Company of New York,Senior Technology Planning Specialist,1,interconnection reference
senior transmission engineer,Hartford County,9110,CT,Eversource Energy,Senior Engineer Transmission,1,interconnection engineer
senior transmission planning engineer,Alameda County,6001,CA,Pacific Gas and Electric Company,Senior Transmission Planning Engineer,1,interconnection engineer
senior transmission planning engineer,Denver County,8031,CO,NextEra Energy Resources,Senior Transmission Planning Engineer,1,interconnection engineer
snr dg project coordinator,Worcester County,25027,MA,National Grid,Snr DG Project Coordinator,2,interconnection reference
specialist research & development transmission planning sr,Davidson County,47037,TN,Tennessee Valley Authority,Specialist Research & Development Transmission Planning Sr,1,interconnection reference
specialist transmission system operator ii,Hamilton County,47065,TN,Tennessee Valley Authority,Specialist Transmission System Operator II,1,interconnection reference
sr cip compliance specialist,Allegheny County,42003,PA,Duquesne Light Company,Sr CIP Compliance Specialist,1,interconnection reference
sr cip regulatory compliance spec i,Allegheny County,42003,PA,Duquesne Light; Duquesne Light Company,Sr CIP Regulatory Compliance Spec I,2,interconnection reference
sr cip regulatory compliance spec i,Allegheny County,42003,PA,Duquesne Light Company,Sr CIP Regulatory Compliance Spec I,2,interconnection reference
sr engineer,King County,53033,WA,Puget Sound Energy,Sr Engineer,1,interconnection engineer
sr engineer,Multnomah County,41051,OR,PacifiCorp,Sr Engineer,2,interconnection engineer
sr engineer,Rockland County,36087,NY,"Orange and Rockland Utilities, Inc.",Sr Engineer,1,interconnection engineer
sr engineer electrical engineering engineering planning,Rockland County,36087,NY,"Orange and Rockland Utilities, Inc.",Sr Engineer Electrical Engineering Engineering Planning,1,interconnection engineer
sr engineer energy storage,Palm Beach County,12099,FL,NextEra Energy Resources,Sr PGD Engineer - Energy Storage,2,interconnection engineer
sr interconnection specialist,Lehigh County,42077,PA,PPL Corporation,Sr Interconnection Specialist,1,interconnection reference
sr interconnection specialist,Travis County,48453,TX,Lower Colorado River Authority,Interconnection Specialist Sr,1,interconnection reference
sr manager cip regulatory compliance,Allegheny County,42003,PA,Duquesne Light Company,Sr Manager CIP Regulatory Compliance,1,interconnection reference
sr mgr cip regulatory compliance,Allegheny County,42003,PA,Duquesne Light; Duquesne Light Company,Sr Mgr CIP Regulatory Compliance,2,interconnection reference
sr mgr cip regulatory compliance,Allegheny County,42003,PA,Duquesne Light Company,Sr Mgr CIP Regulatory Compliance,2,interconnection reference
sr operations engineer,Kent County,26081,MI,Consumers Energy,Sr Operations Engineer,1,interconnection engineer
sr power system coordinator system operator,Douglas County,13097,GA,Georgia Power Company; Southern Company,Sr Power System Coordinator System Operator,2,interconnection reference
sr product owner interconnection,Mecklenburg County,37119,NC,Duke Energy Corporation,Sr Product Owner Interconnection,1,interconnection reference
sr project lead late stage projects,Hennepin County,27053,MN,National Grid Renewables,Sr Project Lead Late Stage Projects,1,interconnection reference
sr project management consultant e & c,Palm Beach County,12099,FL,NextEra Energy Resources,Sr Project Management Consultant E & C,2,interconnection reference
sr project manager e & c,Palm Beach County,12099,FL,NextEra Energy Resources,Sr Project Manager E & C,1,interconnection reference
sr regulatory specialist,Salem County,34033,NJ,Exelon; Exelon Corporation,Sr Regulatory Specialist,2,interconnection reference
sr regulatory specialist,Salem County,34033,NJ,Exelon,Sr Regulatory Specialist,2,interconnection reference
sr regulatory specialist,Salem County,34033,NJ,Exelon Corporation,Sr Regulatory Specialist,2,interconnection reference
sr telecom engineer,Bernalillo County,35001,NM,Public Service Company of New Mexico (PNM),ENGINEER TELECOM SR,2,interconnection engineer
sr telecom engineer,Bernalillo County,35001,NM,"PNM Resources, Inc; Public Service Company of New Mexico (PNM)",ENGINEER TELECOM SR,2,interconnection engineer
sr telecom engineer,Bernalillo County,35001,NM,"PNM Resources, Inc",ENGINEER TELECOM SR,2,interconnection engineer
sr telecommunications engineer,Bernalillo County,35001,NM,Public Service Company of New Mexico (PNM),Sr Telecommunications Engineer,1,interconnection engineer
sr trans system operator,DuPage County,17043,IL,Exelon,Sr Trans System Operator,1,interconnection reference
staff attorney,Cleveland County,40027,OK,Western Farmers Electric Cooperative,Staff Attorney; Staff Attorney Post,4,interconnection reference
staff attorney,Oklahoma County,40109,OK,Western Farmers Electric Cooperative,Staff Attorney; Staff Attorney Post,2,interconnection reference
staff engineer,Wayne County,26163,MI,DTE Energy,Engineer Staff,1,interconnection engineer
staff interconnection specialist,Multnomah County,41051,OR,Portland General Electric,Staff Interconnection Specialist,1,interconnection reference
staff senior training simulator specialist,Washington County,41067,OR,Portland General Electric,Staff Senior Training Simulator Specialist,1,interconnection reference
staff senior transmission services specialist,Washington County,41067,OR,Portland General Electric,Staff Senior Transmission Services Specialist,2,interconnection reference
student intern renewable energy,Pima County,4019,AZ,Tucson Electric Power,Student Intern Renewable Energy,1,interconnection reference
study engineer,Penobscot County,23019,ME,Versant Power,STUDY ENGINEER,1,interconnection engineer
supervising engineer distribution planning,Madison County,17119,IL,Ameren,Supervising Engineer Distribution Planning,1,interconnection engineer
supervising engineer interconnections,Providence County,44007,RI,PPL Corporation,Supervising Engineer Interconnections,1,interconnection engineer
supervisor customer energy integration,Lehigh County,42077,PA,PPL Corporation,Supervisor Customer Energy Integration,1,interconnection reference
supervisor distributed energy resource interconnections,King County,53033,WA,Puget Sound Energy,Supervisor Distributed Energy Resource Interconnections,1,interconnection reference
supervisor electric project management,Fresno County,6019,CA,Pacific Gas and Electric Company,Supervisor Electric Project Management,1,interconnection reference
supervisor product management,Alameda County,6001,CA,Pacific Gas and Electric Company,Supervisor Product Management,1,interconnection reference
supervisor project controls,Alameda County,6001,CA,Pacific Gas and Electric Company,Supervisor Project Controls,1,interconnection reference
supervisor protection and control,Lee County,12071,FL,LCEC,Supervisor Protection and Control,2,interconnection reference
supervisor substation engineering spe data communications,Henrico County,51087,VA,Dominion Energy,Supervisor Substation Engineering SPE Data Communications,1,interconnection engineer
supervisor transmission and operations planning,La Crosse County,55063,WI,Dairyland Power Cooperative,Supervisor Transmission and Operations Planning,2,interconnection reference
supervisor transmission services,King County,53033,WA,Puget Sound Energy,Supervisor Transmission Services,2,interconnection reference
supervisor transmission technical services,Maricopa County,4013,AZ,Arizona Public Service,Supervisor Transmission Technical Services,1,interconnection reference
supervisor transmission technician services,Maricopa County,4013,AZ,Arizona Public Service - APS,Supervisor Transmission Technician Services,1,interconnection reference
supervisory public utilities specialist,Clark County,53011,WA,Bonneville Power Administration,Supervisory Public Utilities Specialist Contracts,1,interconnection reference
supv privatization opers & construction,Bell County,48027,TX,Dominion Energy,Supv Privatization Opers & Construction,1,interconnection reference
supv transmission planning,Jefferson County,1073,AL,Southern Company,Supv Transmission Planning,3,interconnection reference
system operations planner outage coordinator senior,Maricopa County,4013,AZ,Arizona Public Service - APS,System Operations Planner Outage Coordinator Senior,1,interconnection reference
system operator,Clark County,21049,KY,East Kentucky Power Cooperative,System Operator,1,interconnection reference
system planning engineer i,Westchester County,36119,NY,New York Power Authority,System Planning Engineer I,2,interconnection engineer
system planning engineer ii,Westchester County,36119,NY,New York Power Authority,System Planning Engineer II,2,interconnection engineer
system planning manager,Palm Beach County,12099,FL,NextEra Energy Resources,System Planning Manager,1,interconnection reference
system protection engineering manager,Contra Costa County,6013,CA,Pacific Gas and Electric Company,Manager System Protection Engineering,1,interconnection engineer
systems engineer,Hartford County,9110,CT,Eversource Energy,Systems Engineer,1,interconnection engineer
systems planning manager,Saratoga County,36091,NY,NextEra Energy Resources,Systems Planning Manager,1,interconnection reference
technical associate ep engineering planning distributed energy services ev,Westchester County,36119,NY,Con Edison,Technical Associate EP Engineering Planning Distributed Energy Services EV,1,interconnection engineer
telecommunications engineer,Hartford County,9110,CT,Eversource Energy,Telecommunications Engineer,1,interconnection engineer
tranmission account representative,Denver County,8031,CO,Xcel Energy,Tranmission Account Representative,2,interconnection reference
trans contract srvcs analyst,Maricopa County,4013,AZ,Arizona Public Service,Trans Contract Srvcs Analyst,1,interconnection reference
transmission account manager,Salt Lake County,49035,UT,PacifiCorp,Transmission Account Manager,2,interconnection reference
transmission account representative,Hennepin County,27053,MN,Xcel Energy,Transmission Account Representative,1,interconnection reference
transmission contract account representative,Hennepin County,27053,MN,Xcel Energy,Transmission Contract Account Representative,2,interconnection reference
transmission contract account representative engineering,Hennepin County,27053,MN,Xcel Energy,Transmission Contract Account Representative Engineering,1,interconnection engineer
transmission contracts manager,Adams County,8001,CO,"Tri-State Generation and Transmission Association, Inc.",Transmission Contracts Manager,1,interconnection reference
transmission interconnections manager,Blanco County,48031,TX,Pedernales Electric Cooperative,Transmission Interconnections Manager,5,interconnection reference
transmission line design engineer,Fresno County,6019,CA,Pacific Gas and Electric Company,Transmission Line Design Engineer,1,interconnection engineer
transmission line design engineer,Yolo County,6113,CA,Pacific Gas and Electric Company,Transmission Line Design Engineer,1,interconnection engineer
transmission operations supervisor,Madison County,17119,IL,Ameren,Transmission Operations Supervisor,1,interconnection reference
transmission owner policy analyst i ii iii,Henrico County,51087,VA,Dominion Energy,Transmission Owner Policy Analyst I II III,1,interconnection reference
transmission planning chief engineer,Jefferson County,1073,AL,Southern Company,Transmission Planning Chief Engineer,1,interconnection engineer
transmission planning engineer,Alameda County,6001,CA,Pacific Gas and Electric Company,Transmission Planning Engineer,1,interconnection engineer
transmission planning engineer,Bernalillo County,35001,NM,"PNM Resources, Inc",Transmission Planning Engineer,1,interconnection engineer
transmission planning engineer,Jefferson County,1073,AL,Southern Company,Engineer Transmission Planning,6,interconnection engineer
transmission planning engineer,Jefferson County,1073,AL,Southern Company,Engineer Transmission Planning; Transmission Planning Engineer,6,interconnection engineer
transmission planning engineer,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer,6,interconnection engineer
transmission planning engineer,Lake County,18089,IN,NiSource,Transmission Planning Engineer,1,interconnection engineer
transmission planning engineer electric machines,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer Electric Machines,1,interconnection engineer
transmission planning engineer entry level,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer Entry level Emphasis,1,interconnection engineer
transmission planning engineer equipment,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer Equipment Application Emphasis,2,interconnection engineer
transmission planning engineer i ii iii iv senior,Pima County,4019,AZ,Tucson Electric Power,Transmission Planning Engineer I II III IV Senior,2,interconnection engineer
transmission planning engineer i iv,Bernalillo County,35001,NM,Public Service Company of New Mexico (PNM),Engineer I IV Transmission Planning; Transmission Planning Engineer I IV,7,interconnection engineer
transmission planning engineer i iv,Bernalillo County,35001,NM,"PNM; PNM Resources, Inc; Public Service Company of New Mexico (PNM)",Engineer I IV Transmission Planning; Transmission Planning Engineer I IV,7,interconnection engineer
transmission planning engineer i iv,Bernalillo County,35001,NM,"PNM; PNM Resources, Inc",Engineer I IV Transmission Planning; Transmission Planning Engineer I IV,7,interconnection engineer
transmission planning engineer power electronics,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer (Power Electronics Emphasis),1,interconnection engineer
transmission planning engineer power quality emphasis,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer Power Quality Emphasis,1,interconnection engineer
transmission planning engineer stability emphasis,Jefferson County,1073,AL,Southern Company,Transmission Planning Engineer Stability Emphasis,4,interconnection engineer
transmission planning generation strategic engineer,Jefferson County,1073,AL,Southern Company,Transmission Planning Generation & Strategic Engineer,4,interconnection engineer
transmission planning project manager principal engineer,Fulton County,13121,GA,Southern Company,Transmission Planning Project Manager Principal Engineer,1,interconnection engineer
transmission planning reliability engineer i ii iii senior,Oklahoma County,40109,OK,Western Farmers Electric Cooperative,Transmission Planning Reliability Engineer I II III Senior,1,interconnection engineer
transmission planning stability and special studies engineer power electronics,Jefferson County,1073,AL,Southern Company,Transmission Planning - Stability and Special Studies Engineer - Power Electronics,1,interconnection engineer
transmission planning stability special studies engineer,Jefferson County,1073,AL,Southern Company,Transmission Planning - Stability and Special Studies Engineer,1,interconnection engineer
transmission planning strategy development contract analyst,Maricopa County,4013,AZ,Salt River Project,Transmission Planning Strategy Development Contract Analyst,1,interconnection reference
transmission planning supervisor,Jefferson County,1073,AL,Southern Company,Transmission Planning Supervisor,4,interconnection reference
transmission planning transmission planner,Fulton County,13121,GA,Southern Company,Transmission Planning Transmission Planner,2,interconnection reference
transmission policy & contracts regulatory compliance consultant,King County,53033,WA,Puget Sound Energy,Regulatory Compliance Consultant Transmission Policy & Contracts,1,interconnection reference
transmission policy & contracts regulatory policy consultant,King County,53033,WA,Puget Sound Energy,Regulatory Policy Consultant Transmission Policy & Contracts,1,interconnection reference
transmission policy & contracts senior regulatory compliance analyst,King County,53033,WA,Puget Sound Energy,Senior Regulatory Compliance Analyst Transmission Policy & Contracts,1,interconnection reference
transmission rate analyst,Adams County,8001,CO,"Tri-State Generation and Transmission Association, Inc.",Transmission Rate Analyst,1,interconnection reference
transmission rate analyst i ii iii senior,Adams County,8001,CO,"Tri-State Generation and Transmission Association Inc.; Tri-State Generation and Transmission Association, Inc.",Transmission Rate Analyst I II III Senior,4,interconnection reference
transmission rate analyst i ii iii senior,Adams County,8001,CO,"Tri-State Generation and Transmission Association, Inc.",Transmission Rate Analyst I II III Senior,4,interconnection reference
transmission rate analyst i ii iii senior,Adams County,8001,CO,Tri-State Generation and Transmission Association Inc.,Transmission Rate Analyst I II III Senior,4,interconnection reference
transmission rates financial analyst intern,Hartford County,9110,CT,Eversource Energy,Transmission Rates Financial Analyst Intern,1,interconnection reference
transmission scada engineer iii sr engineer,Mecklenburg County,37119,NC,Duke Energy Corporation,Transmission SCADA Engineer III Sr Engineer,2,interconnection engineer
transmission scada engineer iii sr engineer,Mecklenburg County,37119,NC,Duke Energy; Duke Energy Corporation,Transmission SCADA Engineer III Sr Engineer,2,interconnection engineer
transmission scada engineer iii sr engineer,Mecklenburg County,37119,NC,Duke Energy,Transmission SCADA Engineer III Sr Engineer,2,interconnection engineer
transmission scheduling & service requests specialist,Clackamas County,41005,OR,PacifiCorp,Transmission Scheduling & Service Requests Specialist,1,interconnection reference
transmission scheduling & service requests specialist,Multnomah County,41051,OR,PacifiCorp,Transmission Scheduling & Service Requests Specialist,2,interconnection reference
transmission switchyard engineering leader,Palm Beach County,12099,FL,NextEra Energy Resources,Transmission Switchyard Engineering Leader,1,interconnection engineer
transmission system control operator apprentice,Hall County,31079,NE,Nebraska Public Power District,Transmission System Control Operator Apprentice,1,interconnection reference
transmission system operator,Clark County,21049,KY,East Kentucky Power Cooperative,System Operator Transmission,2,interconnection reference
transmission system operator,Douglas County,31055,NE,Omaha Public Power District,Transmission System Operator,2,interconnection reference
utility specialist sfpuc enterprise,San Francisco County,6075,CA,San Francisco Public Utilities Commission,Utility Specialist SFPUC Enterprise,1,interconnection reference